date,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
2020-01-01,13300000,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished
2020-01-02,12250000,8960,4,4,4,yes,no,no,no,yes,3,no,furnished
2020-01-03,12250000,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished
2020-01-04,12215000,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished
2020-01-05,11410000,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished
2020-01-06,10850000,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished
2020-01-07,10150000,8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished
2020-01-08,10150000,16200,5,3,2,yes,no,no,no,no,0,no,unfurnished
2020-01-09,9870000,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished
2020-01-10,9800000,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished
2020-01-11,9800000,13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished
2020-01-12,9681000,6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished
2020-01-13,9310000,6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished
2020-01-14,9240000,3500,4,2,2,yes,no,no,yes,no,2,no,furnished
2020-01-15,9240000,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished
2020-01-16,9100000,6000,4,1,2,yes,no,yes,no,no,2,no,semi-furnished
2020-01-17,9100000,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished
2020-01-18,8960000,8500,3,2,4,yes,no,no,no,yes,2,no,furnished
2020-01-19,8890000,4600,3,2,2,yes,yes,no,no,yes,2,no,furnished
2020-01-20,8855000,6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished
2020-01-21,8750000,4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished
2020-01-22,8680000,7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished
2020-01-23,8645000,8050,3,1,1,yes,yes,yes,no,yes,1,no,furnished
2020-01-24,8645000,4560,3,2,2,yes,yes,yes,no,yes,1,no,furnished
2020-01-25,8575000,8800,3,2,2,yes,no,no,no,yes,2,no,furnished
2020-01-26,8540000,6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished
2020-01-27,8463000,6000,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished
2020-01-28,8400000,8875,3,1,1,yes,no,no,no,no,1,no,semi-furnished
2020-01-29,8400000,7950,5,2,2,yes,no,yes,yes,no,2,no,unfurnished
2020-01-30,8400000,5500,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished
2020-01-31,8400000,7475,3,2,4,yes,no,no,no,yes,2,no,unfurnished
2020-02-01,8400000,7000,3,1,4,yes,no,no,no,yes,2,no,semi-furnished
2020-02-02,8295000,4880,4,2,2,yes,no,no,no,yes,1,yes,furnished
2020-02-03,8190000,5960,3,3,2,yes,yes,yes,no,no,1,no,unfurnished
2020-02-04,8120000,6840,5,1,2,yes,yes,yes,no,yes,1,no,furnished
2020-02-05,8080940,7000,3,2,4,yes,no,no,no,yes,2,no,furnished
2020-02-06,8043000,7482,3,2,3,yes,no,no,yes,no,1,yes,furnished
2020-02-07,7980000,9000,4,2,4,yes,no,no,no,yes,2,no,furnished
2020-02-08,7962500,6000,3,1,4,yes,yes,no,no,yes,2,no,unfurnished
2020-02-09,7910000,6000,4,2,4,yes,no,no,no,yes,1,no,semi-furnished
2020-02-10,7875000,6550,3,1,2,yes,no,yes,no,yes,0,yes,furnished
2020-02-11,7840000,6360,3,2,4,yes,no,no,no,yes,0,yes,furnished
2020-02-12,7700000,6480,3,2,4,yes,no,no,no,yes,2,no,unfurnished
2020-02-13,7700000,6000,4,2,4,yes,no,no,no,no,2,no,semi-furnished
2020-02-14,7560000,6000,4,2,4,yes,no,no,no,yes,1,no,furnished
2020-02-15,7560000,6000,3,2,3,yes,no,no,no,yes,0,no,semi-furnished
2020-02-16,7525000,6000,3,2,4,yes,no,no,no,yes,1,no,furnished
2020-02-17,7490000,6600,3,1,4,yes,no,no,no,yes,3,yes,furnished
2020-02-18,7455000,4300,3,2,2,yes,no,yes,no,no,1,no,unfurnished
2020-02-19,7420000,7440,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished
2020-02-20,7420000,7440,3,2,4,yes,no,no,no,no,1,yes,unfurnished
2020-02-21,7420000,6325,3,1,4,yes,no,no,no,yes,1,no,unfurnished
2020-02-22,7350000,6000,4,2,4,yes,yes,no,no,yes,1,no,furnished
2020-02-23,7350000,5150,3,2,4,yes,no,no,no,yes,2,no,semi-furnished
2020-02-24,7350000,6000,3,2,2,yes,yes,no,no,yes,1,no,semi-furnished
2020-02-25,7350000,6000,3,1,2,yes,no,no,no,yes,1,no,unfurnished
2020-02-26,7343000,11440,4,1,2,yes,no,yes,no,no,1,yes,semi-furnished
2020-02-27,7245000,9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished
